step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,1779952367865fd718902c7314ea4915307767e4a8a801,0.4849176887434174,0.2251861255232062,2.5638846737481034,,What is the Isla Vista noise ordinance?,This 1990 local ordinance in essence sets noise curfews for amplified sound within Santa Barbara County.,,Learn more,environmental-noise-5xrg-learn-more.md,,,,,
2,1779952367865fd718902c7314ea4915307767e4a8a801,0.5114258708389833,0.7542613473805518,2.5638846737481034,,"Who cares about ""unreasonable noise""?","During the 1960s as the public became more aware of the effects of all types of pollution, specific concern was raised for the effects of environmental and nuisance noise on health. Environmental protection in general was also on the rise after several high profile examples of the negative effects of pollution.",,Learn more,environmental-noise-5xrg-learn-more-santa.md,,,,,
3,1779952367865fd718902c7314ea4915307767e4a8a802,0.46636637969645767,0.2113471384133681,2.563884673748103,,Why 60 decibels?,60 decibels is the target noise level to maintain the county standard of an exterior Day-Night Average Sound level of 65dB. This level is set by the local “Noise Element” which outlines local guidelines in a city or county’s General Plan to protect residents from excessive sound and is a requirement of local jurisdictions under the California Environmental Quality Control Act of 1970 or CEQA.,,Learn more,environmental-noise-5xrg-learn-more-ceqa.md,Go deeper,environmental-noise-5xrg-go-deeper-federal.md,,,
4,1779952367865fd718902c7314ea4915307767e4a8a801,0.5,0.5,1.0050000000000001,,What changed?,Initial local reporting cited little change or pushback from the community once the ordinance went into effect despite initial pushback.,,Learn more,environmental-noise-5xrg-step4-layer1.md,,,,,
5,pg2-4120,0.5,0.5,1,,Is this the only  restriction on amplified noise?,"No, in 1993 the County amended its ordinances concerning “festivals” over concerns arising from increasing crowds in the tens of thousands being drawn to the area for Halloween celebrations in the early 90s. This ordinance further restricted noise in the evening and mornings for the days around Halloween.",,Learn more,environmental-noise-5xrg-step5-layer1.md,Go deeper,environmental-noise-5xrg-go-deeper.md,,,
